,tone_avg
1518,-7.807808
1519,-2.4271846
1520,2.419355
1521,-5.769231
1522,-0.7125891
1523,-3.8461537
1524,-1.2096775
1525,1.0262258
1526,-2.2929935
1527,-3.1664965
1528,-0.19685039
1529,-1.4718615
1530,2.0833333
1531,-5.4862843
1532,0.85714287
1533,0.33259425
1534,0.4608295
1535,2.857143
1536,1.6336056
1537,-0.48622367
1538,0.83507305
1539,1.2048193
1540,-1.968504
1541,1.0075567
1542,0.5089058
1543,-2.9126213
1544,-1.2539185
1545,0.5208333
1546,0.8680556
1547,-6.8965516
1548,-4.1916165
1549,-0.3294893
1550,-2.2292993
1551,-0.8264463
1552,-1.981982
1553,0.8
1554,-2.6845639
1555,6.277533
1556,0.9771987
1557,2.5
1558,8.433735
1559,-1.3937283
1560,-3.0737705
1561,-4.5958796
1562,-1.4275517
1563,-2.3255813
1564,-4.6747966
1565,-1.8474656
1566,-3.319502
1567,-1.9736842
1568,0.0
1569,-8.396947
1570,-0.5464481
1571,0.0
1572,0.0
1573,-1.4084507
1574,-4.0712466
1575,-1.8099548
1576,-0.89285713
1577,0.0
1578,-2.1126761
1579,4.3103447
1580,-1.0088272
1581,-1.2371134
1582,-1.7992424
1583,-0.77220076
1584,-2.690583
1585,-0.2642008
1586,-2.886836
1587,-7.8431373
1588,-2.6717558
1589,-2.6717558
1590,-2.8935184
1591,-7.1928706
1592,-3.1007752
1593,-0.46728972
1594,-3.1007752
1595,1.4705882
1596,1.8682399
1597,-7.3008847
1598,-7.0539417
1599,-3.142857
1600,-1.9431988
1601,1.0335917
1602,-2.631579
1603,2.7586207
1604,-6.4102564
1605,2.9850745
1606,-4.265403
1607,-5.940594
1608,-2.5
1609,-5.069124
1610,-1.5151515
1611,-5.882353
1612,-3.4482758
1613,-4.2134833
1614,3.113553
1615,0.7936508
1616,-3.5164835
